,mz,rt,lcms mode
LN331,136.9410471,5.029566667,-1
LN334,263.0092894,5.21265,-1
LN335,133.0514493,5.258416667,-1
LN337,372.9012914,5.395733333,-1
LN338,372.9039619,5.487383333,-1
LN341,310.8691981,5.578816667,-1
LN346,239.0796319,5.899216667,-1
LN348,97.95999514,6.0823,-1
LN350,372.9008487,6.356933333,-1
LN354,310.8693077,6.494266667,-1
LN358,254.859133,6.723116667,-1
LN360,97.9598675,6.768983333,-1
LN362,180.913318,6.860433333,-1
LN367,96.95900198,7.4097,-1
LN370,434.8684643,7.684433333,-1
LN372,136.9410063,7.867533333,-1
LN375,254.8586307,8.142066667,-1
LN379,372.9015692,8.279366667,-1
LN380,372.9017139,8.645533333,-1
LN381,320.8889362,8.691333333,-1
LN382,297.1204381,8.782966667,-1
LN383,297.1227013,8.828633333,-1
LN385,207.9321043,8.966066667,-1
LN390,282.084624,9.469433333,-1
LN391,218.9830909,9.469433333,-1
LN389,89.0252696,9.469433333,-1
LN397,256.9562543,9.606766667,-1
LN398,479.0898654,9.652516667,-1
LN403,284.1246863,9.744066667,-1
LN404,340.125109,9.744066667,-1
LN408,337.1151811,9.78985,-1
LN406,309.1209177,9.78985,-1
LN415,323.1368591,9.835616667,-1
LN413,345.0822817,9.835616667,-1
LN410,93.03540409,9.835616667,-1
LN412,299.0774415,9.835616667,-1
LN414,336.1292259,9.835616667,-1
LN411,137.0252689,9.835616667,-1
LN419,367.125203,9.881483333,-1
LN423,361.1135721,9.92715,-1
LN421,321.0730626,9.92715,-1
LN422,311.1351218,9.92715,-1
LN427,315.0735072,9.972933333,-1
LN430,198.0779713,9.972933333,-1
LN426,315.0720528,9.972933333,-1
LN432,341.1472811,10.0187,-1
LN431,380.1555675,10.0187,-1
LN434,293.1143997,10.06456667,-1
LN433,218.1039506,10.06456667,-1
LN441,179.0568995,10.11025,-1
LN442,379.1021484,10.11025,-1
LN438,352.0809635,10.11025,-1
LN437,136.0412246,10.11025,-1
LN449,343.1041247,10.15601667,-1
LN448,225.0885389,10.15601667,-1
LN444,167.0357803,10.15601667,-1
LN445,279.1086315,10.15601667,-1
LN443,329.0878347,10.15601667,-1
LN453,301.0570151,10.2018,-1
LN459,434.1278981,10.24766667,-1
LN456,256.9546775,10.24766667,-1
LN464,359.1000689,10.29333333,-1
LN462,321.0721886,10.29333333,-1
